key,en
About,About
Audio,Audio
BG Color,BG Color
Bounce,Bounce
Experimental,Experimental
Files,Files
Import Settings,Import Settings
Misc,Misc
Mode,Mode
Model Settings,Model Settings
Movement,Movement
Properties,Properties
Remix Settings,Remix Settings
Settings,Settings
TR_ABOUT_FULL,This is a PNGTubing App made to be as lightweight and easy to use as possible. This app is based off PNGTuber+. Main goal is to implement new features as fix bugs from the original software and improve existing ones.
TR_ABOUT,About
TR_ACHROMATOPSIA,Achromatopsia
TR_ADD_APPENDAGE,Add Appendage Based Image
TR_ADD_IMAGE,Add Image
TR_ADD_NEW_STATE,Add new State
TR_ADD,Add
TR_ADVANCED_LIP_SYNC_TOOLTIP,Only works if your mouth shapes are in a sprite-sheet. 14 frames\n(Check the Lipsync configuration)
TR_ADVANCED_LIP_SYNC,Advanced Lipsync
TR_ALWAYS_ON_TOP,Always on Top
TR_AMOUNT,Amount
TR_ANIMATE_TO_MOUSE_TOOLTIP,Animates SpriteSheet depending on mouse position (Horizontally and Vertically)
TR_ANIMATE_TO_MOUSE,Animate to Mouse
TR_ANIMATION_BOUNCY,Bouncy
TR_ANIMATION_FRAMES_H,Horizontal Animation Frames
TR_ANIMATION_FRAMES_V,Vertical Animation Frames
TR_ANIMATION_ONE_BOUNCE,One Bounce
TR_ANIMATION_ONE_SHOT_TOOLTIP,"Sets any animation type (APNG, GIF or SpriteSheet) to only play once."
TR_ANIMATION_ONE_SHOT,One Shot
TR_ANIMATION_RESET,Animation Reset
TR_ANIMATION_SPEED,Animation Speed
TR_ANIMATION_SQUISH,Squish
TR_ANIMATION_WOBBLE,Wobble
TR_ANIMATION,Animation
TR_ANTI_ALIASING,Anti-Aliasing
TR_ASSET_MODEL_DEMO,Asset Model Demo
TR_ASSETS,Assets
TR_AURA,Aura
TR_AUTO_LOAD_MODEL,Auto-Load Model
TR_AUTO_ROTATION,Auto Rotation
TR_AUTO_SAVE,Auto-Save
TR_BASIC_DEMO,Basic Demo
TR_BG_COLOR,BG Color
TR_BLEND_ADD,Add
TR_BLEND_BURN,Burn
TR_BLEND_CURSED,Cursed
TR_BLEND_HARDMIX,HardMix
TR_BLEND_MULTIPLY,Multiply
TR_BLEND_NORMAL,Normal
TR_BLEND_SUBTRACT,Subtract
TR_BLEND,Blend :
TR_BLIND_KEY,Blind Key
TR_BLINK_CHANCE,Blink Chance :
TR_BLINK_SPEED,Blink Speed :
TR_BLUE,Blue
TR_BOUNCE_AMOUNT_TOOLTIP,Affects Model Bouncing
TR_BOUNCE_AMOUNT,Bounce Amount
TR_BOUNCE_GRAVITY,Bounce Gravity
TR_CANCEL,Cancel
TR_CENTER_WINDOW,Center Window
TR_CHOOSE_DEMO,Choose Demo :
TR_CLIP_CHILDREN,Clip Children
TR_CLOSED,Closed
TR_COLOR_BLINDNESS_HELPER_TOOLTIP,An Accessibility feature aimed at helping users and viewers with Color-blindness with viewing the Model.
TR_COLOR_BLINDNESS_HELPER,Color-Blindness Helper :
TR_COLOR,Color :
TR_CREDITS,Credits
TR_CUSTOM,Custom
TR_DARKEN,Darken
TR_DELAY,Delay
TR_DELETE_STATE,Delete State
TR_DELETE,Delete
TR_DEMO_MODEL,Demo Model
TR_DETECT_HOTKEYS_TOOLTIP,Making the software able to change States and other toggles using Hotkeys.
TR_DETECT_HOTKEYS,Detect Hotkeys
TR_DEUTERANOPIA,Deuteranopia
TR_DISABLED,Disabled
TR_DISAPPEAR_KEYS,Disappear Key(s)
TR_DONT_HIDE,Don't Hide
TR_DUPLICATE_STATE,Duplicate State
TR_EDITOR,Editor
TR_EFFECT_COLOR,Effect Color :
TR_EFFECT_HYPER,Hyper
TR_EFFECT_RAINBOW_SPEED,Rainbow Speed :
TR_EFFECT_SELF_RAINBOW,Self-Rainbow
TR_EFFECT_SIZE,Effect Size :
TR_EFFECTS,Effects
TR_EXPORT_MODEL_PARTS,Export Model Parts
TR_EYE_ANIMATIONS,Eye Animations
TR_FAT_POINT,Point :
TR_FILE_DIALOG_TITLE,Open File(s)
TR_FILES,Files
TR_FLIP_H,Flip Horizontally
TR_FLIP_V,Flip Vertically
TR_FLOAT,Float
TR_FM_DELAY,Delay :
TR_FM_MAX_ROT, Max-Rot :
TR_FM_MAX_SQUISH_X,Squish X :
TR_FM_MAX_SQUISH_Y,Squish Y :
TR_FM_MIN_ROT,Min-Rot :
TR_FM_RANGE_X,Range X :
TR_FM_RANGE_Y,Range Y :
TR_FOLLOW_APPENDAGE_TIP,Follow Appendage Tip
TR_FOLLOW_APPENDAGE,Follow Appendage
TR_FOLLOW_MOUSE_DEMO,Follow Mouse Demo
TR_FOLLOW_MOUSE_SCREEN_LABEL,Follow Mouse Screen :
TR_FOLLOW_MOUSE,Follow Mouse
